p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.781814389903167e-25,1.7143672943414237,0.274,0.074,7.452758748585183e-21,5,Sv2c
2.4051478796719707e-19,0.32789620093952365,1,0.979,3.1002356168971703e-15,5,Meg3
8.773027633911718e-17,0.6995401301987578,0.747,0.523,1.1308432620112204e-12,5,Sgcz
2.5292834720229095e-16,0.7592001462565996,0.724,0.515,3.26024639543753e-12,5,Dgkb
2.8131962040689063e-16,1.0978459754919099,0.303,0.118,3.6262099070448203e-12,5,Gad2
1.6873664635570907e-15,0.7638680005882086,0.535,0.303,2.1750153715250898e-11,5,Zfhx3
2.1667920363853047e-15,0.5353197452003924,0.906,0.76,2.7929949349006578e-11,5,Il1rapl1
1.9627210394233674e-14,0.541210090909154,0.638,0.381,2.5299474198167204e-10,5,Grm8
2.5342721596301118e-14,0.8451745405014357,0.518,0.292,3.266676813763214e-10,5,Slc35f3
3.301765653380285e-14,0.3240259856971628,0.994,0.937,4.2559759272071876e-10,5,Dlg2
8.016911019806734e-14,0.8389065739326822,0.335,0.15,1.033379830453088e-9,5,Arhgap6
1.1581899296060283e-13,0.8207358747603712,0.515,0.304,1.4929068192621705e-9,5,Pde1a
1.4942197462903866e-13,0.3226782037739815,0.976,0.902,1.9260492529683084e-9,5,Nrxn3
2.1568290966852783e-13,1.2236959123547946,0.271,0.114,2.7801527056273236e-9,5,Ephb1
3.96703177909563e-13,0.9435318159956649,0.412,0.226,5.113503963254267e-9,5,Cntn3
7.257069779599661e-13,0.634974279558616,0.744,0.528,9.354362945903963e-9,5,Epha6
1.047324588810437e-12,0.8711495501107436,0.435,0.242,1.3500013949766532e-8,5,Hs3st4
9.854069875887456e-25,0.7810264049671458,0.787,0.685,1.270189607001893e-20,6,Grid2
2.189280042934832e-19,0.9225064170826363,0.592,0.447,2.821981975342998e-15,6,Dscam
1.0398209217742995e-17,0.294325561317617,0.996,0.976,1.340329168167072e-13,6,Meg3
4.412656380446988e-17,1.0907382379116175,0.583,0.453,5.687914074396167e-13,6,Galntl6
1.1844647796170037e-16,0.6314778057467034,0.732,0.606,1.5267751009263178e-12,6,Tenm3
6.151730464334344e-13,1.3133963311372523,0.384,0.255,7.92958056852697e-9,6,Zfp804b
2.007468324617957e-12,1.3185813128271837,0.294,0.164,2.5876266704325463e-8,6,Grik1
9.607051477260017e-12,0.5274154091256333,0.835,0.777,1.2383489354188163e-7,6,Asic2
1.0069075392167704e-9,1.1511448765993593,0.31,0.201,1.297903818050417e-5,6,LOC102548260
2.9775835099871676e-9,0.7682829172590511,0.482,0.399,3.838105144373459e-5,6,Peg3
3.37851305450438e-8,0.6617489945690376,0.493,0.403,4.354903327256146e-4,6,Pcdh15
4.6488306804400704e-8,0.30701039750213877,0.871,0.854,5.992342747087251e-4,6,Cntnap2
5.882822239898219e-7,0.8769027061906431,0.421,0.354,0.007582957867228804,6,Cntnap5c
6.80274367365386e-7,0.7828656925785538,0.364,0.276,0.008768736595339825,6,LOC304725
1.0002265406625948e-6,0.9597182724623929,0.255,0.17,0.012892920109140848,6,Kcnip1
9.757969742978223e-6,0.3027723018178099,0.838,0.82,0.1257802299869893,6,LOC102555254
9.776743737827978e-6,0.4255585183277284,0.66,0.628,0.12602222678060263,6,Dab1
