p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.3322966018584357e-7,0.29441882842763434,0.938,0.857,0.0017173303197955236,5,Fgf14
2.191311288556165e-7,0.672625816368088,0.385,0.243,0.0028246002509488967,5,Pde7b
2.9909768203868604e-7,0.30842261380610303,0.832,0.765,0.003855369121478663,5,Kcnd2
3.2981347309794227e-7,0.657976218118725,0.385,0.248,0.004251295668232476,5,Ppp1r9a
3.455646378211806e-7,0.5346748898178588,0.568,0.418,0.004454328181515018,5,Rbfox3
4.580780949876529e-7,0.33495839610299116,0.706,0.555,0.005904626644390846,5,Kazn
6.231777133065959e-7,0.4606071589351073,0.7,0.542,0.008032760724522022,5,Kcnq5
6.310939075998253e-7,0.4853207157221444,0.621,0.471,0.008134800468961749,5,Ppp3ca
9.720889566963737e-7,0.4505629573577794,0.579,0.428,0.012530226651816257,5,Cntnap5a
9.897301111387615e-7,0.2595472157514056,0.944,0.797,0.012757621132578636,5,Celf2
1.30757844249173e-6,0.4586903603184669,0.532,0.377,0.0168546861237184,5,LOC120102485
1.3382043138147784e-6,0.6251354290027435,0.344,0.216,0.017249453605072494,5,Tiam1
1.3444239004443078e-6,0.42459953059380595,0.632,0.462,0.017329624076727126,5,Gphn
1.3531917674471522e-6,0.7478724315463552,0.409,0.279,0.017442641882393792,5,LOC304725
1.7559967632121792e-6,0.35576613497211396,0.776,0.634,0.02263479827780499,5,Gabrb1
2.226877220616854e-6,0.2932100671595501,0.876,0.812,0.02870444737375125,5,Pcdh9
2.3913721011577705e-6,0.3665420163076125,0.585,0.43,0.03082478638392366,5,Trpm3
3.1507928090047794e-6,0.4911892164527618,0.544,0.4,0.04061371930807161,5,Galnt13
3.7543410641833556e-6,0.37028005934291963,0.697,0.564,0.048393456317323454,5,Myt1l
3.955809406216883e-6,0.4279873895612978,0.656,0.518,0.05099038324613562,5,Gria2
4.062289281110243e-6,0.38019356194296616,0.294,0.177,0.05236290883351103,5,Ptprz1
4.163670196240449e-6,0.6745287395092897,0.268,0.159,0.05366970882953939,5,Nsg2
9.357739131477042e-6,0.8145701103452223,0.256,0.155,0.12062125740473907,5,Diaph2
1.1589457228642718e-5,0.43423724726868373,0.424,0.284,0.14938810367720462,5,Ssbp2
1.2653477301582473e-5,0.518681970574244,0.447,0.312,0.16310332241739808,5,Ldb2
2.118543590319033e-5,0.336555046828253,0.435,0.298,0.2730802687921234,5,Tmem132d
2.391685021110172e-5,0.364381225300745,0.535,0.409,0.3082881992211012,5,Plxna4
3.117990618179359e-5,0.526816927215277,0.371,0.257,0.4019089906833194,5,Mbnl2
3.221189862099719e-5,0.42153952244095416,0.468,0.342,0.41521137322465373,5,Ryr3
3.235288265940986e-5,0.2731497437578261,0.794,0.681,0.4170286574797931,5,Csmd3
3.349721857142561e-5,0.4443127200841417,0.518,0.392,0.4317791473856761,5,Prkcb
3.4407135603567815e-5,0.548141891408938,0.309,0.2,0.44350797792998914,5,Rapgef6
3.6519359035404814e-5,0.33765722721228686,0.456,0.32,0.47073453796636805,5,Nebl
4.084464113622691e-5,0.4665701081653564,0.324,0.212,0.5264874242459648,5,Ptprr
4.143731274345838e-5,0.34514768331058887,0.659,0.517,0.5341269612631785,5,Gabrb3
4.195070068733993e-5,0.5119574873163748,0.379,0.264,0.54074453185981175,5,Atp2b1
4.57520731555288e-5,0.35441797080685244,0.759,0.623,0.5897442229747663,5,Erc2
4.921274376475827e-5,0.25764021769556855,0.8,0.665,0.6343522671277341,5,Plcb1
5.3502980724060966e-5,0.3089279003599037,0.4,0.277,0.6896534215331459,5,Mtus2
5.468804719613907e-5,0.46014095845696623,0.388,0.271,0.7049289283582326,5,Elmo1
5.5582918868864776e-5,0.692655854288813,0.253,0.162,0.7164638242196669,5,Ralgdsl1
5.7414654767010274e-5,0.3530300200694949,0.471,0.341,0.7400748999467625,5,Dscaml1
5.767044961243772e-5,0.2664193423079353,0.638,0.478,0.7433720955043223,5,Dclk1
5.8588642404451874e-5,0.6590321820792773,0.359,0.257,0.7552076005933847,5,Cnksr2
7.2408733723351e-5,0.30418682631610405,0.515,0.378,0.9333485776939944,5,Spock3
8.100273581951267e-5,0.4796899071880303,0.318,0.214,1,5,Lrfn2
8.121935663608562e-5,0.43304947130855753,0.409,0.289,1,5,Brinp3
8.41648293738047e-5,0.39916251849018103,0.288,0.185,1,5,Tcf20
9.063160640303921e-5,0.4160814270333433,0.324,0.215,1,5,Eml6
9.13415230808969e-5,0.2524430439668093,0.765,0.626,1,5,LOC102551177
9.523990979086382e-5,0.548983428821662,0.388,0.286,1,5,LOC103694103
9.754978948622753e-5,0.378333577439089,0.374,0.257,1,5,Nkain3
9.96392754038676e-5,0.3279332246710278,0.541,0.403,1,5,RGD1560883
1.370314204823543e-4,0.48160161103120025,0.318,0.219,1,5,Sh3rf3
1.4453376789816134e-4,0.38766297026402885,0.388,0.274,1,5,Arid1b
1.586808332525692e-4,0.44603821547663847,0.412,0.297,1,5,Mrtfb
1.6379864390324398e-4,0.2947936234369797,0.568,0.449,1,5,Usp29
1.6712366058041963e-4,0.5921250600250496,0.303,0.212,1,5,Neto1
2.008672034956836e-4,0.49224206306210583,0.329,0.232,1,5,Sipa1l1
2.122278492460363e-4,0.418841437321092,0.359,0.257,1,5,Ubr5
2.4126483379188185e-4,0.39468116702877,0.344,0.241,1,5,Gnas
2.5118462497441776e-4,0.45174622786769447,0.385,0.281,1,5,Adgrl2
2.903050946628001e-4,0.3345019495331796,0.568,0.452,1,5,Prkce
3.747084963124632e-4,0.25507601921099177,0.576,0.45,1,5,LOC102548730
3.998178263436211e-4,0.5683816649073865,0.271,0.186,1,5,Sergef
4.058696102259837e-4,0.5694062384252168,0.356,0.268,1,5,Kcnab1
4.110799338873939e-4,0.34713351185639274,0.471,0.358,1,5,Ksr2
4.3759774535627856e-4,0.39807844322981256,0.288,0.197,1,5,Dtnb
5.082431755894759e-4,0.27636767152094643,0.3,0.2,1,5,Slc35f4
6.366835433002017e-4,0.2613242500649915,0.55,0.418,1,5,Ntrk3
6.477065078810127e-4,0.40408649247111406,0.326,0.233,1,5,Dpyd
6.936650301145363e-4,0.3608996973346468,0.353,0.261,1,5,Stau2
7.05456879601602e-4,0.28091150102307383,0.374,0.268,1,5,Jakmip2
