barcode,technical_well,seurat_cluster_raw,seurat_tree_cluster,seurat_cluster_legacy_res_1_5,provisional_annotation,nCount_RNA,nFeature_RNA,percent.mt,scanpy_cluster
48_50_36,D12,0,6,0,Unresolved,566,422,0.17667844522968199,1
48_50_50,D12,6,4,8,Inhibitory_neuron,704,503,0,6
48_50_89,D12,1,5,1,Unresolved,1131,750,1.237842617152962,2
48_50_91,D12,1,5,7,Unresolved,523,404,1.338432122370937,2
48_50_96,D12,0,6,0,Unresolved,499,409,0.2004008016032064,1
48_51_27,D12,0,6,0,Unresolved,673,504,0.5943536404160475,1
48_51_29,D12,2,7,5,Excitatory_neuron,656,490,0.45731707317073167,1
48_51_30,D12,0,6,0,Unresolved,492,388,1.4227642276422763,1
48_51_47,D12,3,8,3,Unresolved,501,398,0,5
48_52_27,D12,2,7,5,Excitatory_neuron,1950,1040,0.20512820512820512,3
48_52_32,D12,0,6,0,Unresolved,600,495,0,4
48_52_44,D12,3,8,3,Unresolved,1090,733,0,5
48_52_47,D12,3,8,3,Unresolved,1246,826,0.16051364365971107,5
48_52_55,D12,0,6,1,Unresolved,722,529,0.41551246537396125,2
48_52_59,D12,0,6,2,Unresolved,764,562,0.2617801047120419,1
48_52_69,D12,6,4,8,Inhibitory_neuron,799,552,1.1264080100125156,6
48_53_23,D12,3,8,3,Unresolved,1110,773,0.09009009009009009,5
48_53_31,D12,0,6,0,Unresolved,477,379,0.41928721174004197,1
48_53_61,D12,0,6,0,Unresolved,424,344,0,8
48_53_70,D12,0,6,2,Unresolved,880,617,0.45454545454545453,1
48_53_72,D12,0,6,2,Unresolved,932,636,1.2875536480686696,1
48_53_90,D12,6,4,8,Inhibitory_neuron,427,327,1.1709601873536302,2
48_53_91,D12,1,5,1,Unresolved,909,674,0.22002200220022,2
48_54_14,D12,5,3,6,Unresolved,618,464,0,7
48_54_31,D12,1,5,1,Unresolved,533,404,0.9380863039399625,2
48_54_40,D12,2,7,5,Excitatory_neuron,1102,714,0.09074410163339383,3
48_54_41,D12,2,7,5,Excitatory_neuron,824,591,0.6067961165048543,3
48_54_80,D12,0,6,0,Unresolved,404,352,0.7425742574257426,1
48_54_88,D12,3,8,3,Unresolved,909,601,0.33003300330033003,5
48_54_90,D12,0,6,0,Unresolved,435,348,0,1
48_54_93,D12,6,4,8,Inhibitory_neuron,546,418,0.3663003663003663,6
48_54_96,D12,1,5,1,Unresolved,1116,733,0.08960573476702509,2
48_55_65,D12,2,7,5,Excitatory_neuron,733,526,0,3
48_55_72,D12,0,6,0,Unresolved,408,342,0.7352941176470588,4
48_55_76,D12,2,7,5,Excitatory_neuron,450,350,0,3
48_56_05,D12,6,4,8,Inhibitory_neuron,686,469,0.2915451895043732,6
48_56_13,D12,0,6,0,Unresolved,682,505,0.43988269794721413,2
48_56_32,D12,0,6,0,Unresolved,530,430,0,1
48_56_38,D12,1,5,1,Unresolved,738,522,0.13550135501355012,2
48_56_39,D12,0,6,0,Unresolved,571,450,0.17513134851138354,1
48_56_49,D12,0,6,0,Unresolved,435,325,0.45977011494252873,2
48_56_65,D12,0,6,2,Unresolved,759,570,0.3952569169960474,1
48_56_90,D12,5,3,6,Unresolved,893,604,0.5599104143337066,7
48_57_12,D12,0,6,0,Unresolved,526,422,0.19011406844106463,1
48_57_18,D12,6,4,8,Inhibitory_neuron,723,537,1.6597510373443984,6
48_57_20,D12,1,5,7,Unresolved,752,522,0.13297872340425532,2
48_57_31,D12,0,6,0,Unresolved,666,463,0,1
48_57_38,D12,1,5,1,Unresolved,769,574,0.3901170351105332,4
48_57_50,D12,7,2,9,Inhibitory_neuron,563,432,0.3552397868561279,8
48_57_61,D12,0,6,1,Unresolved,924,681,0.4329004329004329,4
48_57_65,D12,7,2,9,Inhibitory_neuron,1356,902,0.3687315634218289,8
48_57_66,D12,2,7,5,Excitatory_neuron,2124,1208,0.09416195856873823,3
48_57_81,D12,1,5,1,Unresolved,788,546,0.12690355329949238,6
